year,oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Control_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,TRAUMA_CENTER_DESC,CONGRESS_DIST,ASSEMBLY_DIST,SENATE_DIST,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Rehab,Disaster_Care_Site,Prison_Jail,Psychiatric_Care,Residential_Care,Routine,SN_IC_Care,Childrens_or_Cancer,CAH,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Rehab,a_Disaster_Care_Site,a_Residential_Care,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer,a_CAH,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,LICENSED_BED_TOTAL,EMS_STATION,Invalid_Blank_Disp,Other_Disp,a_Invalid_Blank_Disp,a_Other_Disp
2015,106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,Investor - Partnership,General Acute Care Hospital,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,Beds 100-149,,40,51,24,City Terrace East/East Los Angeles,Urban,N/A,N/A,Emergency - Basic,7444,6577,,2288,1819,2686,2132,1838,1519,677,397,274,391,,64,279,13254,6,16,,402,223,1087,11,2,,,,487,10,,12196,3,,2,,10171,1096,590,782,1382,,14021,13,8855,5153,1060,1058,,55,103,169,264,448,373,296,321,26,63,,23,95,1843,6,1,149,1,103,148,70,140,,,3,1328,316,,,6,,,,1259,752,5,90,12,,2118,1,1885,232,2015,127,8,,,,4
2015,106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,16237 VENTURA BOULEVARD,ENCINO,91436,Beds 100-149,,30,45,27,Encino/Tarzana/Warner Center/Woodland Hills,Urban,N/A,N/A,Emergency - Basic,5080,4124,,596,701,1532,1752,1405,1334,783,580,488,33,,214,1012,1230,2,575,32,6139,162,456,7,,,,,23,1,,8544,,,,,3706,1883,122,2434,1059,,9204,83,9017,104,1246,1038,,11,91,96,167,310,387,418,804,,,,59,161,174,82,11,1797,,108,82,43,247,14,,159,915,641,,20,53,,1,1,382,1644,3,218,37,,2284,82,2160,42,2015,148,8,,11,,
2015,106190298,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,250 SOUTH GRAND AVENUE,GLENDORA,91741,Beds 100-149,,27,48,25,Asuza/Charter Oak/Covina,Urban,N/A,N/A,Emergency - Basic,12342,9139,3,3159,3028,3725,2881,2420,2687,1610,891,755,328,,712,829,10304,39,195,35,9370,322,318,11,3,7,,,,234,5,20461,104,11,,,53,2641,43,16564,2183,,21484,527,19398,1559,2292,1816,,59,271,278,404,690,720,733,952,,1,,197,132,1445,20,1,2310,3,8,743,103,37,,,67,2440,13,1,412,,283,,,1103,2001,37,909,58,,4108,174,3494,440,2015,105,23,,8,1,
2015,106190315,190315,GARFIELD MEDICAL CENTER,LOS ANGELES,Investor - Partnership,General Acute Care Hospital,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,Beds 200-299,,27,49,22,Montebello North/Monterey Park/South San Gabriel,Urban,N/A,N/A,Emergency - Basic,11912,9997,,3640,2207,3044,2499,2503,2682,1768,1291,1372,903,,9181,505,10950,3,51,3,1216,317,877,50,12,,,,90,177,2,20278,75,23,1,,2887,3564,329,13191,1938,,21909,4815,14647,2447,3240,3185,1,70,170,282,509,915,1118,1220,2111,14,17,,4136,133,1775,16,6,358,2,208,195,281,1221,329,,4,3296,764,2,75,37,8,1,4,2005,3609,18,711,83,,6426,2857,2870,699,2015,210,21,,7,1,
2015,106190323,190323,GLENDALE ADVENTIST MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,1509 WILSON TERRACE,GLENDALE,91206,Beds 500+,,28,43,25,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,N/A,N/A,Emergency - Basic,24461,18826,1,4591,3907,6941,6245,5199,5646,4312,2842,2762,841,2,1969,1139,13217,50,490,371,26052,911,1071,55,99,30,17,,68,27,30,40549,323,1,,49,20851,7972,721,9684,4060,,43288,3611,37431,2246,6952,6685,,137,785,1146,1490,2148,2300,2334,3291,5,1,,811,413,2666,176,101,9458,12,290,488,331,2821,338,,391,6865,1775,6,191,107,1,,,4166,7140,113,1901,317,,13637,2771,10034,832,2015,515,36,55,3,2,31
2015,106190328,190328,GLENDORA COMMUNITY HOSPITAL,LOS ANGELES,Investor - Partnership,General Acute Care Hospital,150 WEST ROUTE 66,GLENDORA,91740,Beds 100-149,,27,48,25,Asuza/Charter Oak/Covina,Urban,N/A,N/A,Emergency - Basic,2017,1752,,498,437,693,627,555,475,207,129,81,67,,347,11,1977,1137,,12,285,100,270,,1,1,3,,19,13,25,3243,80,3,,6,2490,568,36,269,406,,3769,24,3205,540,640,582,,4,11,23,48,155,279,340,362,,,,76,96,354,76,9,610,1,264,24,19,23,31,,44,128,602,,3,83,,,1,32,1134,1,48,7,,1222,21,1098,103,2015,128,7,,5,,
2015,106190352,190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,Investor - Limited Liability Company,General Acute Care Hospital,1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,Beds 100-149,,38,57,22,Bassett/Industry West/La Puente,Urban,N/A,N/A,Emergency - Basic,8717,7567,,3022,2300,2962,2370,2158,1559,757,349,238,569,,885,301,14047,,6,1,1044,334,784,14,3,,1,,25,239,2,14853,24,2,,,4444,685,203,9474,1478,,16284,239,10765,5280,1246,1274,,92,157,213,367,500,463,281,310,34,103,,309,57,1870,1,1,282,,259,139,70,49,4,,1,1717,269,1,4,7,,,,1535,766,24,169,26,,2520,54,2211,255,2015,117,9,,3,,
2015,106190382,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor - Corporation,General Acute Care Hospital,1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,Beds 300-499,,28,43,24,Hollywood South Central/Inner Sunset,Urban,N/A,N/A,Emergency - Basic,15329,14787,2,311,1465,6912,5729,5156,5103,3041,1370,950,81,,2352,4651,13361,8,3726,80,5940,283,3890,82,11,1,4,,,407,154,24886,144,,,,5480,3463,84,15005,6055,31,30118,696,26169,3253,3057,3243,,33,333,401,639,1055,1221,1073,1539,6,,,1468,667,1980,850,1,1331,3,165,323,285,191,240,,110,3758,1160,2,15,16,,,34,2907,2850,20,368,155,,6300,800,4867,633,2015,434,20,20,236,1,
2015,106190385,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,15031 RINALDI STREET,MISSION HILLS,91345,Beds 300-499,Level II,29,39,18,Granada Hills/Mission Hills/Porter Ranch,Urban,N/A,N/A,Emergency - Basic,51318,37533,32,17834,12059,14985,11600,9118,8045,5320,3289,3018,3615,,1344,2855,68862,53,3095,424,12250,448,266,87,28,23,5,,48,144,14,87049,178,29,1,544,55421,9705,741,13647,9363,6,88883,691,65779,22413,5438,5455,1,154,735,825,1206,1589,1984,1836,2542,23,,,494,525,5324,684,72,3786,9,397,138,378,1396,93,,27,6367,1859,7,191,17,,1,22,2887,5551,127,1934,395,,10894,340,7913,2641,2015,377,32,19,,1,
2015,106190392,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,Beds 300-499,,34,53,24,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,N/A,N/A,Emergency - Basic,14741,13540,,1084,1790,6335,5195,4219,4260,2743,1363,934,358,,2272,6221,13906,16,175,49,5642,1024,1080,69,,,,,37,560,,25502,9,,,,12283,4155,373,5690,5780,,28281,1127,18580,8574,3082,2933,,47,306,373,494,885,1095,1274,1528,13,,,1409,1154,2297,42,10,1101,2,230,210,262,376,118,,21,3678,991,,44,7,,,75,1419,2520,20,1848,208,,6015,1029,3240,1746,2015,408,12,,,3,
2015,106190400,190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,100 W. CALIFORNIA BOULEVARD,PASADENA,91105,Beds 500+,Level II,27,41,25,Pasadena South/San Marino/South Pasadena,Urban,N/A,N/A,Emergency - Basic,26509,22927,2,5434,4579,8378,7015,6513,6184,4360,2796,2818,1361,,3460,8067,16805,44,3088,257,17717,1429,1045,78,59,14,31,,347,185,38,45243,203,3,,760,4557,8554,15001,16237,5089,,49438,1310,43554,4574,8023,7541,,368,1120,1166,1539,2096,2487,2347,3744,273,424,,1411,2077,3890,814,52,7301,19,438,215,397,1371,195,,31,10304,2215,12,247,61,12,,59,2948,6515,574,5136,384,7,15564,815,13255,1494,2015,625,50,,3,7,
2015,106190413,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,210 W. SAN BERNARDINO ROAD,COVINA,91723,Beds 150-199,,32,48,22,Asuza/Charter Oak/Covina,Urban,N/A,N/A,Emergency - Basic,8923,6929,,1672,1683,2516,2105,2157,2429,1410,820,874,186,,956,857,9269,11,245,30,4484,290,259,33,7,7,,,,162,7,14901,174,4,,,36,2908,17,11254,1637,,15852,490,13637,1725,2783,3002,,68,533,516,605,964,918,929,1252,,,,492,308,2575,73,9,2320,8,15,773,187,55,,,250,3595,31,9,562,12,273,,,2065,2833,19,717,151,,5785,339,4575,871,2015,193,12,,8,22,1
2015,106190422,190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,3330 WEST LOMITA BOULEVARD,TORRANCE,90505-5073,Beds 300-499,,43,66,26,Harbor Gateway South/Lomita/Torrance East Central,Urban,N/A,N/A,Emergency - Basic,34116,24807,2,6656,5654,8486,7470,6875,7211,5364,4622,5336,1251,,7037,7062,18707,93,4632,276,21118,472,350,38,,1,16,,203,592,43,56477,429,197,,92,16508,13322,939,24626,3492,38,58925,1383,53270,4272,8215,6950,,262,623,879,1221,2229,2466,2720,4300,189,276,,2328,1434,2907,1015,42,7424,15,203,162,452,1821,78,,140,9464,2465,2,308,54,10,,,1445,8726,120,4688,183,3,15165,715,13368,1082,2015,446,29,15,,1,5
2015,106190429,190429,KAISER FND HOSP - LOS ANGELES,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,4867 SUNSET BOULEVARD,LOS ANGELES,90027,Beds 300-499,,28,43,24,Hollywood South Central/Inner Sunset,Urban,N/A,Teaching,Emergency - Basic,33571,31201,1,5696,4874,11312,9262,8415,8037,7011,4961,4062,1143,,7031,9340,29434,187,1302,2176,15303,121,692,16,359,34,20,,28,698,2,62084,186,,,518,16120,12915,262,28468,7003,5,64773,2009,51033,11731,3912,4383,1,206,583,564,750,1166,1655,1592,1549,75,156,,1277,1164,3169,66,92,2498,30,153,119,278,1586,15,3,6,5189,757,1,144,29,,1,14,792,3921,24,3311,248,,8296,321,6468,1507,2015,460,45,15,,,1
2015,106190431,190431,KAISER FND HOSP - SOUTH BAY,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,25825 SOUTH VERMONT AVENUE,HARBOR CITY,90710,Beds 200-299,,33,66,35,Harbor Gateway South/Lomita/Torrance East Central,Urban,N/A,N/A,Emergency - Basic,30465,23650,2,5726,4775,7808,6353,6223,6609,5701,5160,4651,1111,,4936,17418,18705,112,881,1730,10335,153,622,29,395,97,4,,13,540,5,51527,186,3,1,496,11793,12937,151,25580,3654,2,54117,519,48521,5077,3301,3038,,64,267,326,556,891,1206,1377,1551,31,70,,734,2189,1448,40,37,1882,9,276,60,262,1158,5,,2,3741,607,,199,18,,2,6,477,3663,3,2087,109,,6339,67,5731,541,2015,229,37,46,,2,1
2015,106190432,190432,KAISER FND HOSP - PANORAMA CITY,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,13652 CANTARA STREET,PANORAMA CITY,91402,Beds 200-299,,29,46,18,Northridge South/Reseda North,Urban,N/A,N/A,Emergency - Basic,31869,27020,2,6676,5621,8557,6743,6457,6998,6466,5185,4914,1274,,5237,3948,29878,130,65,506,19127,607,271,45,401,69,4,,13,524,31,56197,347,2,2,373,15467,13815,165,24627,4810,7,58891,694,50898,7299,2160,2048,,79,171,190,338,534,775,892,1074,54,101,,394,278,1376,9,22,2119,10,163,26,171,654,11,,1,2369,653,,119,15,,,21,343,2486,2,1276,101,,4208,70,3634,504,2015,218,34,5,,,5
2015,106190434,190434,KAISER FND HOSP - WEST LA,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,6041 CADILLAC AVENUE,LOS ANGELES,90034,Beds 200-299,,37,54,30,Hancock Park/Mid-City West/Park La Brea,Urban,N/A,N/A,Emergency - Basic,36460,27396,1,5498,5063,10617,7974,7015,8024,7095,5611,5896,1064,,2290,30966,17128,206,1208,1954,10105,583,408,63,507,66,13,,47,482,5,60680,128,6,3,848,17141,15044,135,24060,7472,5,63857,803,56829,6225,3191,2578,,36,300,315,445,794,1060,1224,1589,,6,,317,3108,1017,25,23,1263,16,235,53,223,1488,14,,1,2930,572,,215,7,2,2,26,512,3303,11,1791,152,,5769,80,5170,519,2015,288,53,18,,,1
2015,106190470,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,4101 TORRANCE BOULEVARD,TORRANCE,90503,Beds 300-499,,33,66,26,Redondo Beach Central and South/Torrance West Central,Urban,N/A,N/A,Emergency - Basic,33689,25270,,8956,6087,9782,8376,7042,6495,4316,2950,3048,1907,,4756,9627,24323,75,3377,481,16320,552,925,111,56,22,22,,102,324,40,55644,336,64,39,714,27103,8892,1196,17157,4609,2,58959,1291,51408,6260,7911,6346,,233,762,929,1416,2309,2400,2334,3470,146,258,,1892,2346,3698,724,51,5506,40,337,199,393,1658,122,,32,8680,2490,2,255,52,3,5,23,3174,7195,113,2999,775,1,14257,677,12013,1567,2015,442,29,8,,6,
2015,106190475,190475,COMMUNITY HOSPITAL LONG BEACH,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,1720 TERMINO AVENUE,LONG BEACH,90804,Beds 200-299,,47,70,33,Bixby Knolls/Long Beach Central,Urban,N/A,N/A,Emergency - Basic,11930,9791,6,1440,1993,4567,3571,3156,3031,1817,943,1026,183,,1100,4657,5735,32,452,64,9687,778,,34,22,3,11,,42,22,1,20682,104,17,8,2,10204,3693,253,4812,2765,,21727,197,20571,959,2273,2376,4,97,544,567,630,703,674,539,899,,,,267,828,749,94,18,2691,6,255,,146,277,20,,,2902,1000,2,16,33,1,1,,1561,2277,34,585,196,,4653,78,4429,146,2015,208,21,1,,,
2015,106190500,190500,MARINA DEL REY HOSPITAL,LOS ANGELES,Investor - Corporation,General Acute Care Hospital,4650 LINCOLN BOULEVARD,MARINA DEL REY,90292,Beds 100-149,,33,62,26,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,N/A,N/A,Emergency - Basic,12381,11642,,971,1651,5218,4136,3647,3422,2241,1247,1385,105,,1034,5942,4021,43,869,18,12096,865,1092,49,5,4,8,,263,223,26,21396,47,45,,,2021,4613,737,14090,2562,,24023,118,23303,602,1426,1283,,20,154,170,263,387,454,443,818,,,,138,582,320,89,1,1579,,234,114,66,123,71,,11,1558,491,1,23,14,3,,,441,1583,35,558,92,,2709,17,2625,67,2015,145,18,,,,
2015,106190517,190517,PROVIDENCE TARZANA MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,18321 CLARK STREET,TARZANA,91356,Beds 200-299,,30,45,27,Encino/Tarzana/Warner Center/Woodland Hills,Urban,N/A,N/A,Emergency - Basic,20447,15532,4,5707,3720,5229,4659,3963,3773,2965,2128,2527,1312,,693,1848,9195,14,1110,98,23025,127,229,32,31,7,11,,25,168,4,35026,162,4,4,144,16147,6226,407,10131,3071,1,35983,1010,33124,1849,4397,3753,,217,252,366,437,849,1242,1431,2878,181,297,,234,221,980,147,21,6543,4,137,87,223,1643,61,,18,4273,1554,,130,21,1,,2,1233,5024,34,1641,218,,8150,590,7252,308,2015,249,15,9,,,
2015,106190521,190521,MEMORIAL HOSPITAL OF GARDENA,LOS ANGELES,Investor - Partnership,General Acute Care Hospital,1145 W. REDONDO BEACH BLVD.,GARDENA,90247,Beds 150-199,,43,66,35,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,N/A,N/A,Emergency - Basic,20101,15067,,4324,3669,7686,5558,4527,4522,2380,985,687,830,,785,18078,12386,30,1539,,2350,1010,2768,47,8,1,,,311,12,2,30930,69,7,3,,21923,2365,1512,180,9188,,35168,12,34520,636,2682,2328,,39,410,437,605,1115,1010,684,710,,,,248,2668,1420,175,67,427,5,226,375,141,147,,,,3326,794,,,,,1,,2612,1882,26,278,212,,5010,7,4896,107,2015,172,10,,,,
2015,106190522,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,1420 SOUTH CENTRAL AVENUE,GLENDALE,91204,Beds 300-499,,28,43,25,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,N/A,N/A,Emergency - Basic,18166,15365,,3346,2844,5200,4674,4238,4402,3467,2458,2271,631,,1798,1364,14007,1,6036,52,10273,252,637,46,103,9,13,,47,18,,31989,140,163,,114,17886,6714,565,5578,2788,,33531,2627,26882,4022,2835,3033,,42,261,356,512,823,941,1151,1755,27,,,552,258,1520,1143,8,2387,,178,969,220,826,190,,4,3349,1,3,100,10,1,,17,1759,3432,23,591,63,,5868,1182,3963,723,2015,334,15,,,,
2015,106190524,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,LOS ANGELES,Investor - Limited Liability Company,General Acute Care Hospital,14850 ROSCOE BOULEVARD,PANORAMA CITY,91402,Beds 100-149,,29,46,18,Northridge South/Reseda North,Urban,N/A,N/A,Emergency - Basic,7397,6977,5,1285,1606,2560,2268,2070,2225,1239,582,425,119,,874,1565,8619,15,121,27,3158,247,318,9,26,1,,,108,26,5,12388,286,1,78,876,9008,2221,202,911,2034,3,14379,560,9302,4517,2291,3294,,38,627,813,837,1024,873,629,744,,,,450,1057,1719,38,15,2299,7,152,300,98,235,14,,38,3475,1198,2,17,26,,,,2711,2129,32,648,65,,5585,359,4421,805,2015,145,8,9,1,,30
2015,106190525,190525,LONG BEACH MEMORIAL MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,2801 ATLANTIC AVENUE,LONG BEACH,90806,Beds 300-499,Level II & Level II - Ped,47,70,33,Bixby Knolls/Long Beach Central,Urban,N/A,Teaching,Emergency - Basic,45527,37173,,20659,10606,12638,9320,7416,6744,4377,2485,2028,6427,,5823,18110,43934,102,2281,188,12262,870,,69,66,5,22,,23,374,,77487,288,3448,1,1,50627,7865,834,15368,8006,,82700,932,68655,13113,7914,6708,,211,1531,1396,1726,2540,2626,2190,2388,4,10,,2072,3181,4231,341,31,4746,20,545,,444,1549,224,,,9717,1886,8,149,38,53,3,2,4746,6532,187,2832,325,,14622,737,12138,1747,2015,458,53,46,,4,
2015,106190529,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,300 WEST HUNTINGTON DRIVE,ARCADIA,91007,Beds 300-499,,27,49,22,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,N/A,N/A,Emergency - Basic,23204,18721,,6001,4609,6144,5185,4796,4816,3419,2710,3206,1039,,5608,1402,12813,17,5788,4785,11512,1522,1080,78,7,4,33,,42,108,44,38811,193,3,,,4604,8057,479,23728,5057,,41925,1749,36715,3461,6299,5298,,106,455,643,979,1550,1942,2217,3699,6,,,2156,604,1993,1945,14,4882,3,515,212,428,654,382,,7,6782,2344,1,204,64,,,1,890,6873,50,3625,158,1,11597,1235,9245,1117,2015,400,38,,,3,
2015,106190534,190534,OLYMPIA MEDICAL CENTER,LOS ANGELES,Investor - Limited Liability Company,General Acute Care Hospital,5900 WEST OLYMPIC BLVD,LOS ANGELES,90036,Beds 200-299,,37,50,26,Hancock Park/Mid-City West/Park La Brea,Urban,N/A,N/A,Emergency - Basic,12587,10457,2,1391,1789,4613,3867,3448,3711,2240,999,835,153,,760,10576,4734,,2616,89,4271,853,1102,34,1,,,,167,144,137,20424,176,1,,5,11444,3857,895,3226,3624,,23046,391,20928,1727,2619,2416,,26,182,279,477,931,1011,839,1290,,,,332,2161,785,440,12,1305,,59,231,163,677,62,,109,2021,1505,,50,17,139,1,1,1516,3217,32,193,76,1,5035,481,4038,516,2015,204,16,2,,,
2015,106190547,190547,MONTEREY PARK HOSPITAL,LOS ANGELES,Investor - Partnership,General Acute Care Hospital,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,91754-4780,Beds 100-149,,27,49,22,Montebello North/Monterey Park/South San Gabriel,Urban,N/A,N/A,Emergency - Basic,9413,6544,,2641,1860,2604,2216,1654,1723,1187,748,747,577,,715,301,14339,3,38,4,557,239,1144,7,,,,,8,66,,14423,16,3,,,2695,2016,152,9729,1365,,15957,193,10346,5418,1347,1076,,61,158,179,231,395,429,392,531,14,33,,168,50,2087,8,1,109,,127,101,48,273,7,,1,1613,216,,31,1,,,4,1100,1083,15,195,27,3,2423,53,1088,1282,2015,101,6,,51,1,
2015,106190555,190555,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,8700 BEVERLY BOULEVARD,LOS ANGELES,90048,Beds 500+,Level I & Level II - Ped,28,50,26,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,Urban,N/A,Teaching,Emergency - Basic,33630,29486,6,3733,3218,11394,10775,8624,8800,6518,4320,4853,857,30,3152,13977,10841,49,3129,274,31700,38,1254,129,560,15,6,,,823,14,58913,175,,,1195,16108,14247,1619,24521,6627,,63122,2978,57637,2507,12158,12197,,361,1780,2184,2287,3317,4019,3784,6065,214,344,,1271,4671,3079,890,78,14347,19,236,346,728,6165,409,,19,12782,3092,,347,80,,,151,3747,13605,261,6318,424,,24355,2882,20341,1132,2015,886,51,,,,
2015,106190568,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,18300 ROSCOE BOULEVARD,NORTHRIDGE,91325,Beds 300-499,Level II & Level II - Ped,30,45,27,Northridge South/Reseda North,Urban,N/A,N/A,Emergency - Basic,25494,22221,3,6457,5513,8746,6326,5754,5574,3658,2240,2214,1236,,2541,3764,22885,68,3056,270,15134,619,1307,87,171,24,,,,44,1,45117,160,,4,,26213,6485,851,9381,4788,,47718,879,37906,8933,4917,5042,1,456,650,677,926,1397,1537,1517,2196,188,416,,751,535,2943,841,43,4823,24,284,211,257,1071,100,,254,6035,1483,6,200,29,,3,27,2826,4934,92,1869,239,,9960,592,8072,1296,2015,409,25,,184,,
2015,106190570,190570,NORWALK COMMUNITY HOSPITAL,LOS ANGELES,Investor - Limited Liability Company,General Acute Care Hospital,13222 BLOOMFIELD AVENUE,NORWALK,90650,Beds 50-99,,38,57,32,Norwalk/Studebaker,Urban,N/A,N/A,Emergency - Basic,2692,2658,,481,529,894,743,723,865,581,282,186,66,,234,540,3304,2,163,56,1051,474,441,11,7,,4,,37,22,13,4070,262,,,,2466,1130,72,1094,588,,5350,47,4411,892,930,1162,,14,82,146,246,440,505,335,324,,,,130,331,905,46,13,663,4,203,104,47,8,8,,29,796,800,4,7,83,,,3,802,1166,34,73,17,,2092,40,1663,389,2015,50,4,9,,,
2015,106190587,190587,COLLEGE MEDICAL CENTER,LOS ANGELES,Investor - Limited Liability Company,General Acute Care Hospital,2776 PACIFIC AVENUE,LONG BEACH,90806,Beds 150-199,,47,70,33,Bixby Knolls/Long Beach Central,Urban,N/A,N/A,Emergency - Basic,5322,4804,3,546,845,1950,1804,1539,1595,1020,414,334,82,,805,3556,3252,34,338,29,2115,237,578,12,10,2,1,,73,343,38,8396,352,14,9,46,5739,2021,78,918,1373,,10129,141,9244,744,2109,3099,,74,783,794,864,1169,713,413,398,,,,456,1636,1185,51,18,1836,26,159,185,68,119,7,,72,3672,710,4,25,181,,1,2,3302,1644,25,151,85,1,5208,229,4314,665,2015,157,7,7,11,2,1
2015,106190630,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,1798 NORTH GAREY AVENUE,POMONA,91767,Beds 300-499,,35,52,20,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,N/A,N/A,Emergency - Basic,47655,36925,,12762,9379,14262,10829,9457,9555,6219,4036,4389,3692,,3468,7475,45863,16,5401,53,22304,747,1764,139,40,69,26,,598,248,74,80380,369,25,61,29,48725,10700,2303,15165,7687,,84580,1062,71540,11978,5193,5101,,278,562,644,901,1586,1742,1783,2201,258,339,,713,882,4228,583,4,3881,3,393,168,483,480,216,,120,6730,1417,22,208,17,35,,5,3824,5050,36,1309,75,,10294,282,8688,1324,2015,437,50,,11,,
2015,106190631,190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,LOS ANGELES,Nonprofit - Corporation,General Acute Care Hospital,12401 EAST WASHINGTON BLVD.,WHITTIER,90602,Beds 500+,,38,57,32,La Habra Heights/Whittier,Urban,N/A,N/A,Emergency - Basic,35073,26814,,9986,7555,9343,7937,6625,6334,4546,3516,3923,2121,1,1211,822,50135,37,78,56,9548,2417,3181,72,84,20,,,20,369,16,55187,252,265,,2,30107,11266,1047,15872,3595,,61887,214,53540,8133,6555,5576,,247,579,752,1167,1651,1916,2097,3363,166,193,,451,201,7566,26,3,3878,6,504,121,343,2134,169,,25,6744,1745,,304,30,9,,3,2188,7151,69,2557,166,,12131,99,10245,1787,2015,548,61,,2,,
